Chemical name,Brand name (from Health Canada),Strength,Dosage form,DIN/NPN,Manufacturer
bacitracin/polymyxin B sulfate,Jampolycin,500-10 k/g,oint (g),02357569,Jamp Pharma Corp.
benzoyl peroxide,Benzagel,5%,cleanser,02162121,Columbia Laboratories Canada Inc.
benzoyl peroxide,Benzagel,5%,gel alcohol,02162113,Columbia Laboratories Canada Inc.
benzoyl peroxide,Benzagel,5%,lotion,02166607,Columbia Laboratories Canada Inc.
bisacodyl,Bisacodyl,10 mg,supp rect,02458853,"CellChem 
Pharmaceuticals Inc."
bisacodyl,Bisacodyl,10 mg,supp rect,02361450,Jamp Pharma Corp.
bisacodyl,Dulcolax,10 mg,supp rect,00003875,Sanofi Consumer Health Inc.
bisacodyl,JAMP-bisacodyl,5 mg,tablet dr,02246039,Jamp Pharma Corp.
bisacodyl,Bisacdyl-Odan,5 mg,tablet dr,02273411,Odan Laboratories Ltd.
bisacodyl,APO-Bisacodyl,5 mg,tablet dr,00545023,Apotex Inc.
bisacodyl,PMS-Bisacodyl,5 mg,tablet dr,00587273,Pharmascience Inc.
calcium,Solucal raspberry,100/1.25 mL,liquid,80025523,Jamp Pharma Corp.
calcium,mcal,1000 mg,tablet,80019536,Mantra Pharma Inc.
calcium,NU-CAL,100 mg,liquid,80043628,Odan Laboratories Ltd.
calcium,Solu-Cal green apple,100 mg/1.25 mL,liquid,80025527,Jamp Pharma Corp.
calcium,Solu-Cal,20 mg/mL,liquid,80002626,Jamp Pharma Corp.
calcium,Calcium,20 mg/mL,liquid,80006877,Wampole
calcium,Pharma-Cal,500 mg,caplet,80001122,Pendopharm Inc.
calcium,calcium,500 mg,tab chew,00705373,Wampole
calcium,NU-CAL,500 mg,tablet,00618098,Odan Laboratories Ltd.
calcium,O-Calcium,500 mg,tablet,00622443,Vita Health Products Inc.
calcium,calcium,500 mg,tablet,00682039,Apotex Inc.
calcium,calcium,500 mg,tablet,02240240,Pharmetics
calcium,calcium,500 mg,tablet,02246040,Jamp Pharma Corp.
calcium,oyster shell,500 mg,tablet,80001408,Nutricorp International
calcium,calcium,500 mg,tablet,80003658,WN Pharmaceuticals Ltd.
calcium,calcium,500 mg,tablet,80003773,Laboratoires Trianon Inc.
calcium,CAL-500,500 mg,tablet,80017732,ProDoc Ltée
calcium,mcal,500 mg,tablet,80055526,Mantra Pharma Inc.
calcium,calcium carbonate,500 mg,tablet,80062015,Sanis Health Inc.
calcium carbonate,TUMS ultra strength,1000 mg,tab chew,02151138,GlaxoSmithKline
calcium carbonate,TUMS,500 mg,tab chew,01970240,GlaxoSmithKline
calcium carbonate,TUMS extra strength,750 mg,tab chew,01967932,GlaxoSmithKline
calcium polystyrene sulfonate,Resonium,999 mg/g,"powder for 
solution",02017741,Sanofi-Aventis Canada Inc.
calcium vitamin D,Carbocal,500 mg/400 IU,tablet,02245511,Sandoz Canada Inc.
calcium vitamin D,calcium + vitamin D,500 mg/400 IU,tablet,80004969,Laboratoires Trianon Inc.
calcium vitamin D,mcal,500 mg/400 IU,tablet,80009412,Mantra Pharma Inc.
calcium vitamin D,Biocal-D strong/fort,500 mg/400 IU,tablet,80012594,Biomed Pharma
calcium vitamin D,calcium + vitamin D,500 mg/400 IU,tablet,80002122,Jamp Pharma Corp.
calcium vitamin D,calcium + vitamin D (lemon flavour),500 mg/400 IU,tablet,80002623,Jamp Pharma Corp.
calcium vitamin D,NU-CAL D,500 mg/400 IU,tablet,80002703,Odan Laboratories Ltd.
calcium vitamin D,CALCITE 500 D 400,500 mg/400 IU,tablet,80004963,Laboratoire Riva Inc.
calcium vitamin D,calcium,500 mg/400 IU,tablet,80027026,Jamp Pharma Corp.
calcium vitamin D,Solu-Cal D; Solu-Cal D 400; Solu-Cal D green applie flavour,"500 mg/400 
IU/25 mL",liquid,80008126,Jamp Pharma Corp.
capsaicin,ZOSTRIX,0.03%,cream,00740306,"Bausch Health, Canada Inc."
capsaicin,capsaicin,0.03%,cream,02157101,"Bausch Health, Canada Inc."
capsaicin,ZOSTRIX HP,0.08%,cream,02004240,"Bausch Health, Canada Inc."
capsaicin,capsaicin,0.08%,cream,02157128,"Bausch Health, Canada Inc."
cetirizine,cetirizine,10 mg,tablet,02451778,"JAMP PHARMA 
CORPORATION"
cetirizine,cetirizine,10 mg,tablet,02231603,Apotex Inc.
cetirizine,Reactine,1 mg/mL,syrup,02238337,"McNeil Consumer 
Healthcare"
cetirizine,Cetirizine Extra Strength,10 mg,tablet,02517566,Jamp Pharma Corp.
chlorpheniramine,Pheniram,4 mg,tablet,00021288,Teva Canada Ltd.
"citric acid, magnesium oxide, sodium picosulfate",Purg-Odan,10 mg-12 g,powder,02317966,Odan Laboratories Ltd.
"citric acid, magnesium oxide, sodium picosulfate",Pico-Salax,10 mg-12 g,powder,02254794,Ferring Inc.
"citric acid, sodium citrate",dicitrate,"66.8 mg/mL, 
100 mg/mL",solution,00721344,Pendopharm Inc.
clobetasone butyrate,Spectro Exzemacare,0.05%,cream,02214415,GlaxoSmithKline
clotrimazole,Clotrimaderm,1%,cream,00812382,Taro Pharmaceuticals
clotrimazole,Clotrimaderm,1%,cream/appl,00812366,Taro Pharmaceuticals
clotrimazole,Clotrimaderm 3,2%,cream/appl,00812374,Taro Pharmaceuticals
