Chemical name,Brand name (from Health Canada),Strength,Dosage form,DIN/NPN,Manufacturer
ibuprofen,ADVIL PEDIATRIC DROPS,40 mg/mL,drops,02242522,GlaxoSmithKline
ibuprofen,IBUPROFEN TABLETS,200 mg,tablet,02368072,Vita Health Products Inc.
isopropyl myristate,RESULTZ,50%/w/w,solution,02279592,Aralez Pharmaceuticals Canada Inc.
ketoconazole,NIZORAL,2%,shampoo,02182920,Kramer Laboratories Inc.
lactase,LACTOMAX EXTRA,"45 mg 
(4500.0 FCC LU)",tablet,02224909,Sterimax Inc.
lactase,LACTEEZE DROPS,,solution,11200022,Aurium Pharma
lactase (beta-galactosidase),LACTAID Ultra; LACTAID Fast Act Caplets,9000.0 FCC LU,tablet,02231507,"McNeil Consumer 
Healthcare"
lactase (beta-galactosidase),LACTAID REGULAR STRENGTH,3000.0 unit,tablet,02230653,"McNeil Consumer 
Healthcare"
lactase (beta-galactosidase),LACTAID EXTRA STRENGTH,4500.0 FCC LU,tablet,02230654,"McNeil Consumer 
Healthcare"
lactase (galactosidase,DAIRY DIGESTIVE; DAIRY DIGESTIVE SUPPLEMENT; EXTRA STRENGTH DAIRY DIGESTIVE; LACTASE ENZYME; LACTO+,4500.0 FCC units,caplet,02239140,Vita Health Products Inc.
lactase (galactosidase),"DAIRY DIGESTIVE; DAIRY DIGESTIVE SUPPLEMENT; LACTASE ENZYME; REGULAR STRENGTH DAIRY 
DIGESTIVE",3000.0 FCC units,caplet,02239139,Vita Health Products Inc.
lactulose,JAMP-LACTULOSE,10 g/15 mL (667 mg/mL),solution,02295881,Jamp Pharma Corp.
lactulose,LACTULOSE,10 g/15 mL (667 mg/mL),solution,02412268,Sanis Health Inc.
lactulose,PHARMA-LACTULOSE,10 g/15 mL (667 mg/mL),solution,02247383,Pharmascience Inc.
lactulose,PMS-LACTULOSE SYR 667MG/ML,10 g/15 mL (667 mg/mL),solution,00703486,Pharmascience Inc.
lactulose,RATIO-LACTULOSE,10 g/15 mL (667 mg/mL),solution,00854409,Teva Canada Ltd.
lactulose,TEVA-LACTULOSE,10 g/15 mL (667 mg/mL),solution,02331551,Teva Canada Ltd.
lactulose,APO-LACTULOSE,10 g/15 mL (667 mg/mL),solution,02242814,Apotex Inc. (Bajaj Medical LLC)
lactulose,PMS-LACTULOSE-PHARMA,10 g/15 mL (667 mg/mL),solution,02469391,Pharmascience Inc.
lidocaine,Lidodan Viscous 2%,2%,solution,01968823,Odan Laboratories Ltd.
lidocaine/prilocaine,EMLA CREAM,2.50%,cream,00886858,"Aspen Pharmacare 
Canada Inc."
lidocaine/prilocaine,EMLA PATCH,2.50%,patch,02057794,"Aspen Pharmacare 
Canada Inc."
loperamide hydrochloride,Teva-loperamide,2 mg,tablet,02132591,Teva Canada Ltd.
loperamide hydrochloride,PMS-LOPERAMIDE CAPLET 2MG,2 mg,tablet,02228351,Pharmascience Inc.
loperamide hydrochloride,DIARRHEA RELIEF,2 mg,tablet,02256452,Vita Health Products Inc.
loperamide hydrochloride,APO-LOPERAMIDE TABLET 2MG,2 mg,tablet,02212005,Apotex Inc.
loratadine,24 HOUR ALLERGY REMEDY,10 mg,tablet,02280159,Vita Health Products Inc.
loratadine,ALLERTIN,10 mg,tablet,02418959,Apotex Inc.
loratadine,APO-LORATADINE,10 mg,tablet,02243880,Apotex Inc.
loratadine,CLARITIN ALLERGY,10 mg,tablet,00782696,Bayer Inc.
loratadine,CLARITIN KIDS,"5 mg/5 mL (1 
mg/mL)",syrup,02241523,Bayer Inc.
"macrogol, propylene glycol",LUBRICATING NASAL MIST,15%/20%,"metered-dose 
aerosol",00551813,Pharmascience Inc.
"macrogol, propylene glycol",SECARIS,15%/20%,gel,00551805,Pendopharm Inc.
"macrogol, propylene glycol",RHINARIS NASAL GEL,15%/20%,gel,02352699,Pendopharm Inc.
"macrogol, propylene glycol",LUBRICATING NASAL GEL,15%/20%,gel,02220806,Pharmascience Inc.
"macrogol, propylene glycol",LUBRICATING NASAL MIST,15%/5%,"metered-dose 
aerosol",00732230,Pharmascience Inc.
"macrogol, propylene glycol",RHINARIS NASAL MIST,15%/5%,spray,02354551,Pendopharm Inc.
magnesium,MAGNESIUM 100MG; MAGNESIUM 100MG (EXTRA STRENGTH),100 mg,tablet,02068400,Jamieson Laboratories Ltd.
magnesium,JAMP-MAGNESIUM 100MG,100 mg,tablet,80041590,Jamp Pharma Corp.
magnesium,MAGNESIUM GLUCEPTATE LIQUID; JAMP-MAGNESIUM,100 mg/mL,liquid,80009357,Jamp Pharma Corp.
magnesium citrate,CITRO-MAG SOLUTION; CITRO-MAG (CHERRY FLAVOUR),50 mg/mL,solution,00262609,"Rougier Pharma, a 
division of Teva Canada Ltd."
magnesium citrate,CITRODAN,50 mg/mL,solution,80001809,Odan Laboratories Ltd.
magnesium glucoheptonate,MAGNESIUM-ODAN,5 mg/mL,solution,80004109,Odan Laboratories Ltd.
magnesium glucoheptonate,ROUGIER-MAGNESIUM; ROUGIER MAGNESIUM SUCROSE FREE,100 mg/mL,solution,00026697,"Rougier Pharma, a 
division of Teva Canada Ltd."
magnesium gluconate,MAGLUCATE,500 mg,tablet,00555126,Pendopharm Inc.
magnesium hydroxide,PHILLIPS® MILK OF MAGNESIA; PHILLIPS® MILK OF MAGNESIA FRESH MINT; PHILLIPS® MILK OF MAGNESIA WILD CHERRY,80 mg/mL,liquid,02150646,Bayer Inc.
magnesium oxide,MAGNESIUM OXIDE 420MG,420 mg,tablet,00299448,Swiss Herbal
miconazole 2%,MICATIN MICONAZOLE NITRATE CREAM 2% USP,2%,cream topical,02085852,"Wellspring 
Pharmaceutical Canada Corp."
miconazole 2%,MICONAZOLE,2%,cream vag,02231106,Taro Pharmaceuticals Inc.
miconazole nitrate,MONISTAT 7 DUAL-PAK,100 mg-2%,supp vag/ cream,02126257,Insight Pharmaceuticals LLC
miconazole nitrate,"MICONAZOLE 3 DAY OVULE 
TREATMENT 400MG",400 mg,supp vag,02171775,Vita Health Products Inc.
miconazole nitrate,MONISTAT 3 VAGINAL OVULES,400 mg,supp vag,02126605,Insight Pharmaceuticals LLC
miconazole nitrate,MONISTAT 3 DUAL-PAK,400 mg-2%,kit,02126249,Insight Pharmaceuticals LLC
mineral oil,LANSOYL GEL 78%,78%,gel,00608734,Aurium Pharma
mineral oil,MINERAL OIL,100%,liquid,00485802,Teva Canada Ltd.
mineral oil,MINERAL OIL (HEAVY),100%,liquid,01935348,RW Consumer Products Ltd.
"mineral oil, petrolatum",SOOTHE NIGHT TIME,20%-80%,oint (g),02125706,Bausch & Lomb Inc.
"mineral oil, petrolatum",REFRESH LACRI-LUBE,42.5%-57.3%,oint (g),00210889,Allergan Inc.
modified cornstarch,NESTLE RESOURCE THICKEN UP 227G POWDER,227 g,powder,11200019,Nestle
multivitamin ped,CENTRUM JUNIOR COMPLETE,,tablet,80020794,GlaxoSmithKline
multivitamin ped liq,"JAMP VITAMIN A, D, AND C INFANT DROPS",,liquid,80008471,Jamp Pharma Corp.
multivitamin pediatric,ENFAMIL POLY-VI-SOL,,drops,00762946,Mead Johnson Nutrition
multivitamin pediatric,ENFAMIL TRI-VI-SOL,,drops,00762903,Mead Johnson Nutrition
multivitamin pediatric,FLINTSTONES® MULTIPLE VITAMINS WITH EXTRA C,,tablet,02247975,Bayer Inc.
multivitamin prenatal,"NESTLE MATERNA PRENATAL 
MULTIVITAMIN",,tablet,80082297,Nestle Canada Inc.
multivitamin prenatal,"CENTRUM DHA, CENTRUM 
PRENATAL DHA, DHA",,capsule,80042704,GlaxoSmithKline
multivitamin prenatal,CENTRUM PRENATAL,,tablet,80045822,GlaxoSmithKline
multivitamin prenatal,WAMPOLE COMPLETE MULTI-PRE AND POST NATAL WITH FOLIC ACID,,tablet,02229535,"Wampole, Division of Jamp Pharma Corp."
multivitamin prenatal,"NESTLE MATERNA/CENTRUM 
MATERNA TAB",,tablet,80001842,Wyeth Consumer
multivitamin prenatal,"PRENATAL AND POSTPARTUM VITAMIN AND MINERAL 
SUPPLEMENT",,tablet,02241235,Vita Health Products Inc.
multivitamin prenatal,PRENATAL AND POSTPARTUM VITAMINS AND MINERALS TABLETS,,tablet,80005770,Pharmetics
naphazoline,ALBALON,0.10%,drops,00001147,Allergan Inc.
naproxen,NAPROXEN,220 mg,tablet,02362430,Pharmascience Inc.
niacin,NIACIN 500MG,500 mg,tablet,00309737,Jamieson Laboratories Ltd.
niacin,NIACIN TABLET 500,500 mg,tablet,01939130,Odan Laboratories Ltd.
niacin,NIACIN 500MG YEAST FREE,500 mg,tablet,00557412,Vita Health Products Inc.
nitroglycerin,Nitrostat,0.3 mg,tablet,00037613,BGP Pharma ULC
nitroglycerin,Nitrostat,0.6 mg,tablet,00037621,BGP Pharma ULC
nitroglycerin,Rho-Nitro Pumpspray,0.4 mg,"metered-dose 
pump",02238998,Sandoz Canada Inc.
nystatin,NYADERM CRM 100000UNIT/GM,100000 u/g,cream,00716871,Taro Pharmaceuticals Inc.
PEG 3350,EMOLAX,100%/w/w,powder,02374137,Jamp Pharma Corp.
PEG 3350,RELAXA,100%,powder,02346672,"Medexus 
Pharmaceuticals Inc."
PEG 3350,LAX-A-DAY,100%,powder,02317680,Pendopharm Inc.
PEG 3350,PEG 3350,100%,powder,02358034,Medisca Pharmaceuticals Inc.
PEG 3350,RESTORALAX,100%/w/w,powder,02318164,Bayer Inc.
permethrin,NIX CREME RINSE,1%,cream,00771368,Insight Pharmaceuticals LLC
permethrin,KWELLADA-P CRÈME RINSE,1%,liquid,02231480,Medtech Products Inc.
permethrin,NIX DERMAL CREAM,5%,cream,02219905,GlaxoSmithKline
permethrin,KWELLADA-P LOTION,5%,lotion,02231348,Medtech Products Inc.
petrolatum lanolin mineral oil,SYSTANE OINTMENT,94%/3%/3%,oint (g),02444062,Alcon Canada Inc.
phenylephrine,MYDFRIN,2.5%/w/v,solution,00465763,Alcon Canada Inc.
piperonyl butoxide/pyrethrins,"R & C SHAMPOO WITH 
CONDITIONER",3%/0.33%,shampoo,02125447,Medtech Products Inc.
polyethylene glycol,SYSTANE LUBRICANT EYE DROPS,0.4%/w/v,solution,02248967,Alcon Canada Inc.
polyethylene glycol,SYSTANE GEL DROPS LUBRICANT,,gel drops,11200018,Unknown
"polyethylene glycol, sodium sulphate, sodium bicarbonate, sodium chloride, potassium chloride, bisacodyl",BI-PEGLYTE,,kit,02326302,Pendopharm Inc.
potassium chloride,EURO-K20 TABLET,"20 meq (1500 
mg)",tablet er,02242261,Sandoz Canada Inc.
potassium chloride,PMS-POTASSIUM CHLORIDE,20 meq/15 mL,liquid,02238604,Pharmascience Inc.
potassium chloride,"ODAN K-20 TABLET 1500MG 
(20MEQ)","20 meq (1500 
mg)",tablet,80004415,Odan Laboratories Ltd.
potassium chloride,JAMP-K 8 TABLET 8MEQ,8 meq (600 mg),tablet,80013005,Jamp Pharma Corp.
potassium chloride,JAMP - K 20 TABLET 20MEQ,"20 meq (1500 
mg)",tablet,80013007,Jamp Pharma Corp.
potassium chloride,JAMP POTASSIUM CHLORIDE LIQUID,20meq/15ml,liquid,80024835,Jamp Pharma Corp.
potassium chloride,ODAN POTASSIUM CHLORIDE LIQUID,20meq/15ml,liquid,80046782,Odan Laboratories Ltd.
potassium chloride,JAMP-K EFFERVESCENT,25 meq,tablet,80033602,Jamp Pharma Corp.
potassium chloride,M-K8 600MG TABLET,8 meq (600 mg),tablet,80035346,Mantra Pharma Inc.
potassium chloride,Jamp - Potassium Chloride Er 8 Meq,8 meq (600 mg),tablet,80062704,Jamp Pharma Corp.
potassium chloride,Nutra-K 600mg Tablet (Potassium Chloride),8 meq (600 mg),tablet,80097022,Pharmaline Inc.
potassium chloride,Prz K20 1500 Mg,"20 meq (1500 
mg)",tablet,80107649,Pharmaris Canada Inc.
potassium chloride,Pharmaris K-8 (Potassium Chloride) 600mg Tablets,8 meq (600 mg),tablet,80108882,Pharmaris Canada Inc.
povidone/iodine,BETADINE SOLUTION,10%,solution,00158348,Purdue Pharma
pramoxine/zinc,ANUSOL PLUS SUPPOSITORIES,20 mg/10 mg,supp rect,01945904,Church & Dwight Canada Corp.
psyllium powder,MUCILLIUM (PLANTAGO SEED 50%); LAX-A BALANCE; LAX-A EASE; LAX-A FIBRE,,powder,00599875,Pendopharm Inc.
psyllium powder,"METAMUCIL FIBRE THERAPY – SMOOTH TEXTURE, SUGAR FREE, UNFLAVOURED",,powder,02174804,Procter & Gamble Inc.
psyllium powder,"METAMUCIL FIBRE THERAPY 
– ORIGINAL, UNFLAVOURED",,powder,02174812,Procter & Gamble Inc.
psyllium powder,"METAMUCIL FIBRE THERAPY – SMOOTH TEXTURE, SUGAR FREE, FLAVOURED",,powder,02174782,Procter & Gamble Inc.
psyllium powder,METAMUCIL FIBRE THERAPY – SMOOTH TEXTURE,,powder,02174790,Procter & Gamble Inc.
pyrantel pamoate,COMBANTRIN TAB 125MG,125 mg,tablet,01944363,"McNeil Consumer 
Healthcare"
pyrantel pamoate,Jamp-Pyrantel Pamoate,125mg,tablet,02380617,Jamp Pharma Corp.
salicylic acid,SEBCUR SHAMPOO,4%,shampoo,00666106,"Dermtek 
Pharmaceutique Ltee"
salicylic acid,COMPOUND W GEL,17%,gel,02230131,Medtech Products Inc.
salicylic acid,SOLUVER LIQ. 20%,20%,liquid,00690333,"Dermtek 
Pharmaceutique Ltee"
salicylic acid,SOLUVER PLUS LIQ. 27%,27%,liquid,00837733,"Dermtek 
Pharmaceutique Ltee"
salicylic acid,DR. SCHOLL’S CLEAR AWAY WART REMOVER SALICYLIC ACID PLANTAR WART TREATMENT,40%,plaster,01967878,"Scholl's Wellness 
Company"
salicylic acid,Compound W Plantar Wart Remover,0.4,adh. patch,02239055,Medtech Products Inc.
salicylic acid,Compound W Pads,0.4,adh. patch,02229990,Medtech Products Inc.
salicylic acid/coal tar,SEBCUR-T,4%-10%,shampoo,00666114,"Dermtek 
Pharmaceutique Ltee"
selenium sulfide,SELSUN 2.5% EXTRA STRENGTH,2.50%,lotion,00243000,Sanofi Consumer Health Inc.
selenium sulfide,VERSEL LOTION 2.5%,2.50%,lotion,00594601,Valeo Pharma
sennosides,SENNALAX,8.6 mg,tablet,80069737,"CellChem 
Pharmaceuticals Inc."
sennosides,SENNALAX LIQUID,1.7 mg/mL,liquid,02144379,Pharmascience Inc.
sennosides,SENOKOT SYRUP,1.7 mg/mL,syrup,00367729,Purdue Pharma
sennosides,PMS-SENNOSIDES TAB 12MG,12 mg,tablet,00896403,Pharmascience Inc.
sennosides,JAMP SENNOSIDES 12MG COATED TABLETS,12 mg,tablet,80009183,Jamp Pharma Corp.
sennosides,SENNA TABLET USP; JAMP-SENNA,8.6 mg,tablet,80009595,Jamp Pharma Corp.
sennosides,M SENNOSIDES; M SENNA; M-SENNA 8.6MG,8.6 mg,tablet,80043280,Mantra Pharma Inc.
sennosides,PMS-SENNOSIDES TAB 8.6MG,8.6 mg,tablet,00896411,Pharmascience Inc.
sennosides,LAX-A SENNA; LAX-A NIGHT; LAX-A SEN; SENNATAB,8.6 mg,tablet,02068109,Pendopharm Inc.
sennosides,SENNA LAXATIVE,8.6 mg,tablet,02237105,Vita Health Products Inc.
sennosides,JAMP SENNOSIDES 8.6MG COATED TABLETS,8.6 mg,tablet,80009182,Jamp Pharma Corp.
sennosides,EURO-SENNA; SANDOZ SENNA,8.6 mg,tablet,02247389,Sandoz Canada Inc.
sennosides,SENNALAX FORTE,12 mg,tablet,80069733,"CellChem 
Pharmaceuticals Inc."
sennosides/docusate sodium,SENNA LAXATIVE AND DOCUSATE SODIUM TABLETS,8.6 mg - 50 mg,tablet,02247134,Vita Health Products Inc.
sennosides/docusate sodium,SANDOZ SENNA S,8.6 mg - 50 mg,tablet,02247390,Sandoz Canada Inc.
sennosides/docusate sodium,JAMP-SENNA S,8.6 mg - 50 mg,tablet,02291215,Jamp Pharma Corp.
sodium bicarbonate,XENEX SODIUM BICARBONATE 325MG TABLETS,325 mg,tablet,00481912,Xenex Laboratories Inc.
sodium carboxymethylcellulose,REFRESH PLUS DPS 5MG/ML,0.50%,drops,02049260,Allergan Inc.
sodium carboxymethylcellulose,REFRESH TEARS,0.50%,drops,02231008,Allergan Inc.
sodium carboxymethylcellulose,REFRESH CELLUVISC,1%,drops,00870153,Allergan Inc.
sodium carboxymethylcellulose,REFRESH LIQUIGEL,1%,solution,02244650,Allergan Inc.
sodium chloride,BALLARD UNIT DOSE - NAS ORL.9%; Halyard* Single Dose Saline Vials,0.90%,"val/neb; vapour from liquid 
(inhalation)",02215977,Ballard Medica
sodium chloride,"0.9% SODIUM CHLORIDE INJECTION, USP",0.90%,solution,02150204,Omega Laboratories Ltd.
sodium chloride,AIRLIFE MODUDOSE 0.9% SODIUM CHLORIDE SOLUTION NEBULES FOR INHALATION,0.90%,solution,80023553,Carefusion
sodium chloride,"SODIUM CHLORIDE 
BACTERIOSTATIC INJ",0.90%,liquid,00402249,Omega Laboratories Ltd.
sodium chloride,SODIUM CHLORIDE INJECTION USP,0.90%,solution,00037796,Pzifer Canada ULC
sodium chloride,"0.9% SODIUM CHLORIDE INJECTION, USP",0.90%,solution,00060208,Baxter Corp.
sodium chloride,MURO 128 OINTMENT 5%,5%,oint (g),00750816,Bausch & Lomb Inc.
sodium chloride,"ODAN-SODIUM CHLORIDE 
OPHTHALMIC OINTMENT USP",5%,oint (g),80046696,Odan Laboratories Ltd.
sodium chloride,MURO 128 SOLUTION 5%,5%,solution,00750824,Bausch & Lomb Inc.
sodium chloride,SODIUM CHLORIDE 1G CAP,1 g,,11200020,Unknown
sodium chloride,SALINEX DROPS,9 mg/mL,nasal drops,80024901,Sandoz Canada
sodium chloride,SALINEX NASAL SPRAY,9 mg/mL,spray,80024381,Sandoz Canada
sodium chloride,SODIUM CHLORIDE INHALATION SOLUTION USP 0.9%,0.90%,vial-neb,02058235,The Rightdose C
sodium chloride,Odan-Sodium Chloride Ophthalmic Solution Usp 5% Solution,0.05,solution,80046737,Odan Laboratories Ltd.
sodium cromoglycate,CROMOLYN EYE DROPS,2%,solution,02009277,Pendopharm Inc.
sodium cromoglycate,RHINARIS-CS ANTI-ALLERGIC NASAL MIST,2%,spray,01950541,Pendopharm Inc.
sodium phosphate,"JAMP-SODIUM PHOSPHATE 
500/469/123 MG TAB",500/469/123 mg,tab eff.,80047562,Jamp Pharma Corp.
sodium phosphate,PHOSLAX,0.9 g-2.4 g,solution,80000689,Odan Laboratories Ltd.
sodium phosphate,"PHOSPHATES SOLUTION; OPTION + PHOSPHATES SOLUTION; 
PHARMASAVE PHOSPHATES 
SOLUTION; RÉSERVÉ PHOSPHATES SOLUTION",480 mg/mL,solution,02230399,Pharmascience Inc.
sodium phosphate,Jamp-sodium phosphate solution,0.891g-2.4g,solution,80034416,Jamp Pharma Corp.
sterile water,STERILE WATER FOR INJECTION USP,100%,IV solution,01927930,B. Braun Medical
sterile water,STERILE WATER FOR INJECTION USP,100%,liquid,00402257,Omega Laboratories Ltd.
sterile water,STERILE WATER FOR INJECTION USP,100%,solution,02142546,Pfizer Canada ULC
sterile water,BACTERIOSTATIC WATER FOR INJECTION USP,30 mL/30 mL,solution,00038202,Pfizer Canada ULC
tolnaftate,TINACTIN,1%,cream,00576034,Bayer Inc.
tolnaftate,DR. SCHOLL'S ATHLETE'S FOOT SPRAY POWDER,1%,powder,01919245,"Scholl's Wellness 
Company"
tolnaftate,TINACTIN POWDER,1%,powder,00576042,Bayer Inc.
tolnaftate,TINACTIN AEROSOL POWDER,1%,powder,00576050,Bayer Inc.
unknown generic name,CANTHARONE LIQUID 0.7%,0.70%,liquid,80023975,Dormer Laboratories Inc.
unknown generic name,JAMP SENNAQUIL 1.7 MG/ML,1.7 mg/mL,liquid,80024394,Jamp Pharma Corp.
vitamin A,"VITAMIN A 10,000IU","10,000 IU",capsule,00297720,Jamieson Laboratories Ltd.
vitamin B12,VITAMIN B12,1000 mcg/mL,vial,00521515,Sandoz Canada Inc.
vitamin B12,CYANOCOBALAMIN INJECTION USP,1000 mcg/ml,vial,02413795,Stride Pharma
vitamin B12,JAMP-CYANOCOBALAMIN INJECTION,1000 mcg/ml,vial,02420147,Jamp Pharma Corp.
vitamin B12,B-12 1000 INJECTION 1000MCG/ML,1000 mcg/ml,vial,00626112,Omega Laboratories Ltd.
vitamin B12,CYANOCOBALAMIN INJECTION USP,1000 mcg/mL,ampul,01987003,Sterimax Inc.
vitamin B12,VITAMIN B12 1000MCG,1000 mcg,tablet,80012952,Jamieson Laboratories Ltd.
vitamin B6,"PYRIDOXINE HYDROCHLORIDE INJECTION, USP",100 mg/mL,vial,02245215,Mylan Pharmaceuticals ULC
vitamin B6,VITAMIN B6 100MG TABLET,100 mg,tablet,80003665,WN Pharmaceuticals Ltd
vitamin B6,VITAMIN B6 100MG TAB,100 mg,tablet,00263958,Valeant Canada
vitamin B6,VITAMIN B6 100MG,100 mg,tablet,00329185,Jamieson Laboratories Ltd.
vitamin B6,VITAMIN B6 100MG TABLETS USP,100 mg,tablet,02239348,Pharmetics
vitamin B6,B6 TABLETS 100MG,100 mg,tablet,00450677,Vita Health Products Inc.
vitamin B6,VITAMIN B6 25MG,25 mg,tablet,80002890,Jamp Pharma Corp.
vitamin B6,VITAMIN B6 TAB 50MG,50 mg,tablet,00305227,Jamieson Laboratories Ltd.
vitamin C,VITAMIN C,250 mg/mL,ampul,00780634,Sandoz Canada Inc.
vitamin C,VITAMIN C 500MG TABLET,500 mg,tablet,80001520,"Wampole, Division of Jamp Pharma Corp."
vitamin C,VITAMIN C 1000MG SUSTAINED RELEASE TABLETS,1000 mg,tablet er,00760587,Pharmetics
vitamin C,VITAMIN C TABLETS 1000MG,1000 mg,tablet,00354376,Pharmetics
vitamin C,"VITAMIN C TABLETS 250MG 
CHEWABLE; VITAMIN C 250MG; VITAMIN C",250 mg,tablet chew,00266051,Pharmetics
vitamin C,VITAMIN C TAB 250MG; VITAMIN C 250MG; VITAMIN C 250MG TABLETS USP,250 mg,tablet,00162515,Pharmetics
vitamin C,VITAMIN C TAB 250MG; VITAMIN C 250MG TABLETS USP PLAIN,250 mg,tablet,00557811,Vita Health Products Inc.
vitamin C,VITAMIN C; VITAMIN C 500MG TABLET,500 mg,tablet,02163268,Jamieson Laboratories Ltd.
vitamin C,ASCORBIC ACID TABLETS 500MG; C 500MG; VITAMIN C 500MG,500 mg,tablet,00266086,Pharmetics
vitamin C,WAMPOLE CHEWABLE VITAMIN C 500MG TABLETS; VITAMIN C,500 mg,tablet chew,00274240,"Wampole, Division of Jamp Pharma Corp."
vitamin C,"VITAMIN C 500MG CHEWABLE TABLETS NATURAL ORANGE 
FLAVOUR; CHEWABLE VITAMIN C 500MG",500 mg,tablet chew,02245721,Pharmetics
vitamin C,"CHEWABLE VITAMIN C 500MG; C 500MG, C 500MG CHEWABLE;",500 mg,tablet chew,00784591,Vita Health Products Inc.
vitamin C,"VITAMIN C; CHEWABLE C; 
CHEWABLE VITAMIN C; VITAMIN C CHEWABLE",500 mg,tablet chew,02245348,WN Pharmaceuticals Ltd
vitamin C,WAMPOLE VITAMIN C 500MG TABLETS,500 mg,tablet,00036188,"Wampole, Division of Jamp Pharma Corp."
vitamin C,VITAMIN C TABLET 500MG,500 mg,tablet,00041114,Adams Labs Ltd.
vitamin C,VITAMIN C TAB 500MG ORANGE FLAVOURED CHEWABLE,500 mg,tablet chew,00322326,Adams Labs Ltd.
vitamin C,VITAMIN C TAB 500MG,500 mg,tablet,00557838,Vita Health Products Inc.
vitamin C,VITAMIN C 500MG TABLETS USP; VITAMIN C,500 mg,tablet,02244469,Pharmetics
vitamin C,VITAMIN C 500MG TAB,500 mg,tablet,80003328,WN Pharmaceuticals Ltd
vitamin D,M-D1000 GEL,1000 IU,capsule; soft,80055204,Mantra Pharma Inc.
vitamin D,D-GEL 1000,1000 IU,softgel,80007766,Jamp Pharma Corp.
vitamin D,VITAMIN D 1000IU (TABLET); D 1000IU; D3; VITAMIN D,1000 IU,tablet,80000436,Jamieson Laboratories Ltd.
vitamin D,VITAMIN D 1000 IU TABLET; D3; VITAMIN D3; PROVITA D3,1000 IU,tablet,80003663,WN Pharmaceuticals Ltd
vitamin D,VITAMIN D 1000IU,1000 IU,tablet,80009580,Swiss Herbal
vitamin D,VITAMIN D3 1000 IU TABLETS; ACTI D; BONES & JOINTS VITAMIN D3 1000IU,1000 IU,tablet,02245842,Pharmetics
vitamin D,"VITAMIN D 1000IU CHEW; 
CHEWABLE VITAMIN D CHOCOLATE; CHEWABLE VITAMIN D ORANGE; D3; VITAMIN D; VITAMIN D3",1000 IU,tablet chew,80031157,WN Pharmaceuticals Ltd
vitamin D,DDROPS 25.0 MCG,1000 IU liquid,liquid,80001791,Unknown
vitamin D,JAMP-VITAMIN D LIQUID 1000IU,1000 IU liquid,liquid,80028362,Jamp Pharma Corp.
vitamin D,EURO D VITAMIN D3 400 IU,400 IU,capsule,02242651,Sandoz Canada Inc.
vitamin D,VITAMINE D 400 UI,400 IU,capsule,80008590,Biomed Pharma
vitamin D,D-GEL 400,400 IU,softgel,80006629,Jamp Pharma Corp.
vitamin D,WAMPOLE VITAMIN D 400 IU TABLETS; VITAMIN D3,400 IU,tablet,02240624,"Wampole, Division of Jamp Pharma Corp."
vitamin D,VITAMIN D 400 IU; VITAMIN D3; WEBBERS NATURALS VITAMIN D3,400 IU,tablet,80002452,WN Pharmaceuticals Ltd
vitamin D,VITAMIN D 400 IU,400 IU,tablet,02238729,Vita Health Products Inc.
vitamin D,VITAMIN D 400 IU TABLET,400 IU,tablet,02240858,Pharmetics
vitamin D,ENFAMIL D-VI-SOL INFANTS DROPS 400 UNIT/ML,400 IU liquid,drops,00762881,Mead Johnson Nutrition
vitamin D,BABY DDROPS 10MCG,400 IU liquid,drops,80001869,Unknown
vitamin D,JAMP D3-DOL 400IU O/L; JAMP D3- DOL,400 IU liquid,liquid,80019649,Jamp Pharma Corp.
vitamin D,DDROPS VITAMIN D3 400U DROPS; KIDS DDROPS,400 IU liquid,drops,80001792,Unknown
vitamin D,JAMP-VITAMIN D 400IU DROPS; D3- POM,400 IU liquid,drops,80003038,Jamp Pharma Corp.
vitamin D,PEDIAVIT D ORAL SOLUTION USP,400 IU liquid,drops,02231624,Euro-Pharm International Canada Inc.
vitamin B1,THIAMIJECT INJECTION - LIQ IM IV 100MG/ML,100 mg/mL,liquid,02193221,Omega Laboratories Ltd.
vitamin B1,VITAMIN B1,100 mg,tablet,00407011,Jamieson Laboratories Ltd.
vitamin B1,VITAMIN B1,100 mg,tablet,00232467,Adams Lab Ltd.
vitamin B1,VITAMIN B1,100 mg,tablet,80000352,WN Pharmaceuticals Ltd
vitamin B1,VITAMIN B1 100MG TABLET; JAMP VITAMIN B1,100 mg,tablet,80009588,Jamp Pharma Corp.
vitamin B1,VITAMIN B1,100 mg/mL,ampul,00816078,Sandoz Canada Inc.
vitamin B1,JAMP-VITAMIN B1,50 mg,tablet,80009633,Jamp Pharma Corp.
vitamin B12,JAMP-VITAMIN B12 1000MCG RAPID ORAL DISSOLUTION,1000 mcg,tablet,80028902,Jamp Pharma Corp.
vitamin B12,JAMP-VITAMIN B12 1000MCG,1000 mcg,tablet,80015276,Jamp Pharma Corp.
vitamin B12,VITAMIN B12 METHYLCOBALAMIN B12; B12 SUBLINGUAL; VITAMIN B12,1000 mcg,tablet,80006939,WN Pharmaceuticals Ltd
vitamin B12,"VITAMIN B12 1000MCG TIMED RELEASE; B12; VITAMIN B12; 
VITAMIN B12 1000MCG",1000 mcg,tablet,80003575,Pharmetics
vitamin B12,VITAMIN B12 1000MCG TABLETS,1000 mcg,tablet,02237736,Swiss Herbal
